source,program,used_default_cpp,cents_per_point,flight_numbers,cabin,stops,connections,carriers,remaining_seats,bookable,comparable,depart_time,arrive_time,duration_minutes,mileage_cost,taxes_amount,taxes_currency,taxes_usd,fx_source,points_value_usd,effective_usd,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,seat_credit_usd,score,expensive_flag,dynamic_price_threshold_usd,flags,aircraft,fare_classes,availability_id,trip_id,departs_at_raw,arrives_at_raw
alaska,Alaska Atmos Rewards,False,1.5,"AS3037, AA842, AA2374",business,2,"LAX, DFW","AA, AS",2,True,True,22:20,10:50 +1,570,45000,18.1,USD,18.1,cache:2026-06-27,675.0,693.1,100.0,47.5,75.0,75.0,4.0,986.6,False,723.7,"exceeds_preferred_stops, next_day_arrival, late departure","Embraer E175, Airbus A321, Boeing 737-800","E, U, U",37HC7HH5pz8lBYLt15XcesiMRkP,3EzsnUP9JD5GS4CqfZuICPBSTkG,2026-12-11T22:20:00Z,2026-12-12T10:50:00Z
american,American AAdvantage,False,2.0,"AS3037, AA842, AA2374",business,2,"LAX, DFW","AS, AA, AA",0,False,True,22:20,10:50 +1,570,25000,5.6,USD,5.6,cache:2026-06-27,500.0,505.6,100.0,47.5,75.0,75.0,0.0,803.1,False,723.7,"not_enough_seats, exceeds_preferred_stops, next_day_arrival, late departure","Embraer E175, Airbus A321, Boeing 737-800",,38GsHXxxjuJEqrJUesZ1jz9cLRf,3EnDzbqPloX1vWaYXEC1q17R9OT,2026-12-11T22:20:00Z,2026-12-12T10:50:00Z
united,United MileagePlus,False,1.2,"UA2837, UA6137",economy,1,IAD,"UA, UA",9,True,True,22:35,10:06 +1,511,22100,5.6,USD,5.6,cache:2026-06-27,265.2,270.8,50.0,42.58,75.0,75.0,18.0,495.38,False,405.2,"next_day_arrival, late departure","Boeing 737 MAX 9, Embraer E175","YN, YN",3888wcxv2NLqUWsOibGx8H3QHRE,3F4x1x99JkoPXTeEFhKTLHp9yqM,2026-12-11T22:35:00Z,2026-12-12T10:06:00Z
delta,Delta SkyMiles,False,1.2,DL335,economy,0,,DL,9,True,True,22:45,06:20 +1,275,33300,5.6,USD,5.6,cache:2026-06-27,399.6,405.2,0.0,22.92,75.0,75.0,18.0,560.12,False,405.2,"next_day_arrival, late departure",Boeing 737-900,NU,38GsMWFv0pDHw8VWtRCme9K5kgv,390xrfmo88OumMwsZKRIAjCyWKc,2026-12-11T22:45:00Z,2026-12-12T06:20:00Z
delta,Delta SkyMiles,False,1.2,"DL670, DL4725",economy,1,JFK,"DL, DL",2,True,True,22:45,12:06 +1,621,33300,5.6,USD,5.6,cache:2026-06-27,399.6,405.2,50.0,51.75,75.0,75.0,4.0,652.95,False,405.2,"next_day_arrival, late departure","Boeing 767-300, Bombardier CRJ900","NU, NU",38GsMWFv0pDHw8VWtRCme9K5kgv,3DpmP28KUT6JRJAISQDiLW6TJwB,2026-12-11T22:45:00Z,2026-12-12T12:06:00Z
united,United MileagePlus,False,1.2,"UA2278, UA5717",economy,1,ORD,"UA, UA",9,True,True,22:45,09:50 +1,485,22500,5.6,USD,5.6,cache:2026-06-27,270.0,275.6,50.0,40.42,75.0,75.0,18.0,498.02,False,405.2,"next_day_arrival, late departure","Airbus A321neo, Embraer E175","YN, YN",3888wcxv2NLqUWsOibGx8H3QHRE,3FNLeog4K8XECQlkZcWl6bwE9WS,2026-12-11T22:45:00Z,2026-12-12T09:50:00Z
united,United MileagePlus,False,1.2,"UA649, UA3425",economy,1,EWR,"UA, UA",9,True,True,22:50,13:34 +1,704,48800,5.6,USD,5.6,cache:2026-06-27,585.6,591.2,50.0,58.67,75.0,75.0,18.0,831.87,True,405.2,"next_day_arrival, late departure, expensive","Boeing 777, Embraer E175","YN, YN",3888wcxv2NLqUWsOibGx8H3QHRE,3FNLenmHr7KM4J1SHbpmskxr7Ws,2026-12-11T22:50:00Z,2026-12-12T13:34:00Z
azul,Azul TudoAzul,False,2.0,"UA2111, UA4024",economy,1,IAD,"UA, UA",0,False,True,22:55,23:59 +1,1324,18315,46.58,BRL,9.0,cache:2026-06-27,366.3,375.3,50.0,110.33,125.0,75.0,0.0,735.63,False,405.2,"not_enough_seats, next_day_arrival, late departure, late arrival",,"X, X",38GsJhQen0jVUVSjXsHJh7xUSlo,3EzspGcypeMeLcvsQaS12c5Tmbo,2026-12-11T22:55:00Z,2026-12-12T23:59:00Z
united,United MileagePlus,False,1.2,"UA2111, UA6137",economy,1,IAD,"UA, UA",9,True,True,22:55,10:06 +1,491,22100,5.6,USD,5.6,cache:2026-06-27,265.2,270.8,50.0,40.92,75.0,75.0,18.0,493.72,False,405.2,"next_day_arrival, late departure","Boeing 737 MAX 9, Embraer E175","YN, YN",3888wcxv2NLqUWsOibGx8H3QHRE,3F4x228pQAempb7vZVq2cV2owK6,2026-12-11T22:55:00Z,2026-12-12T10:06:00Z
american,American AAdvantage,False,2.0,"AA2327, AA2345, AA5056",business,2,"ORD, DCA","AA, AA, AA",0,False,True,23:15,13:40 +1,685,107000,5.6,USD,5.6,cache:2026-06-27,2140.0,2145.6,100.0,57.08,75.0,75.0,0.0,2452.68,False,723.7,"not_enough_seats, exceeds_preferred_stops, next_day_arrival, late departure","Boeing 737-800, Airbus A319, Bombardier CRJ700",,38GsHXxxjuJEqrJUesZ1jz9cLRf,3CEB9cFEbrpsKcbwUjPOsxNNjCu,2026-12-11T23:15:00Z,2026-12-12T13:40:00Z
