source,program,used_default_cpp,cents_per_point,flight_numbers,cabin,stops,connections,carriers,remaining_seats,bookable,comparable,depart_time,arrive_time,duration_minutes,mileage_cost,taxes_amount,taxes_currency,taxes_usd,fx_source,points_value_usd,effective_usd,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,seat_credit_usd,score,expensive_flag,dynamic_price_threshold_usd,flags,aircraft,fare_classes,availability_id,trip_id,departs_at_raw,arrives_at_raw,alternate_count,alternates
alaska,Alaska Atmos Rewards,False,1.5,"AA773, AA158",economy,1,MIA,AA,9,True,True,11:45,15:30 +1,1545,22500,80.44,USD,80.44,live:2026-06-27,337.5,417.94,50.0,128.75,0.0,75.0,18.0,653.69,False,592.59,next_day_arrival,"Airbus A321neo/Lr/Xlr, Boeing 737-800","T, T",32o6jffBLWSOaBl6ylZgptQChIn,3EvT48uSYJXp4MDzRPPX3jpoaRO,2026-09-04T11:45:00Z,2026-09-05T15:30:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA2410, AA886",economy,1,CLT,AA,9,True,True,23:40,13:35 +1,715,22500,74.84,USD,74.84,live:2026-06-27,337.5,412.34,50.0,59.58,75.0,75.0,18.0,653.92,False,592.59,"next_day_arrival, late departure","Airbus A321neo/Lr/Xlr, Airbus A321","T, T",32o6jffBLWSOaBl6ylZgptQChIn,3EvT412RB5ug4elOR6iop6wTxlW,2026-09-04T23:40:00Z,2026-09-05T13:35:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA2358, AA2842, AA895",economy,2,"ORD, CLT",AA,9,True,True,17:07,10:59 +1,952,22500,80.44,USD,80.44,live:2026-06-27,337.5,417.94,100.0,79.33,0.0,75.0,18.0,654.27,False,592.59,"exceeds_preferred_stops, next_day_arrival","Airbus A321, Airbus A321, Airbus A321","T, T, T",32o6jffBLWSOaBl6ylZgptQChIn,3FbOduyOTAqLQtYPtBxfHtYpGQg,2026-09-04T17:07:00Z,2026-09-05T10:59:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA2860, AA691, AA2179",economy,2,"PHX, AUS",AA,5,True,True,15:46,10:31 +1,1005,22500,74.84,USD,74.84,live:2026-06-27,337.5,412.34,100.0,83.75,0.0,75.0,10.0,661.09,False,592.59,"exceeds_preferred_stops, next_day_arrival","Airbus A321, Boeing 737-800, Boeing 737-800","T, T, T",32o6jffBLWSOaBl6ylZgptQChIn,3FbOdrscKH1XGg7qBSf2HmTf0h0,2026-09-04T15:46:00Z,2026-09-05T10:31:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA2387, AA972, AA2179",economy,2,"DFW, AUS",AA,9,True,True,14:08,10:31 +1,1103,22500,74.84,USD,74.84,live:2026-06-27,337.5,412.34,100.0,91.92,0.0,75.0,18.0,661.26,False,592.59,"exceeds_preferred_stops, next_day_arrival","Airbus A321, Airbus A321, Boeing 737-800","T, T, T",32o6jffBLWSOaBl6ylZgptQChIn,3FbOdpwzvPLoyUXRjIMdl9I7K9P,2026-09-04T14:08:00Z,2026-09-05T10:31:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA3166, AA1262",economy,1,PHL,AA,1,True,True,22:12,11:25 +1,673,22500,74.84,USD,74.84,live:2026-06-27,337.5,412.34,50.0,56.08,75.0,75.0,2.0,666.42,False,592.59,"next_day_arrival, late departure","Airbus A321neo/Lr/Xlr, Airbus A321","T, T",32o6jffBLWSOaBl6ylZgptQChIn,3FFRCbr2pmlD0UWHz2YzfXbtkHi,2026-09-04T22:12:00Z,2026-09-05T11:25:00Z,0,
united,United MileagePlus,False,1.2,"UA2619, UA1075",economy,1,LAX,"UA, UA",9,True,True,16:40,06:41 +1,721,36100,67.94,USD,67.94,live:2026-06-27,433.2,501.14,50.0,60.08,0.0,75.0,18.0,668.22,False,592.59,next_day_arrival,"Boeing 737-800, Boeing 737-900","YN, YN",33d4wlCl5uQycjhPmigMOGB3Ysr,3FKSc1HEDJvTpqd9Ofh6Qm0aAAG,2026-09-04T16:40:00Z,2026-09-05T06:41:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA6188, AA2118, AA2179",economy,2,"LAX, AUS",AA,5,True,True,13:45,10:31 +1,1126,22500,74.84,USD,74.84,live:2026-06-27,337.5,412.34,100.0,93.83,0.0,75.0,10.0,671.17,False,592.59,"exceeds_preferred_stops, next_day_arrival","Embraer E175, Boeing 737-800, Boeing 737-800","T, T, T",32o6jffBLWSOaBl6ylZgptQChIn,3FbOdtXuFjJuIyZvZ5B0amIPLVr,2026-09-04T13:45:00Z,2026-09-05T10:31:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA6276, AA3035, AA895",economy,2,"LAX, CLT",AA,2,True,True,16:31,10:59 +1,988,22500,80.44,USD,80.44,live:2026-06-27,337.5,417.94,100.0,82.33,0.0,75.0,4.0,671.27,False,592.59,"exceeds_preferred_stops, next_day_arrival","Embraer E175, Airbus A321, Airbus A321","T, T, T",32o6jffBLWSOaBl6ylZgptQChIn,3FbOdqHjFQURsva4VDjSElrPJOK,2026-09-04T16:31:00Z,2026-09-05T10:59:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA1163, AA972, AA2179",economy,2,"DFW, AUS",AA,7,True,True,12:38,10:31 +1,1193,22500,74.84,USD,74.84,live:2026-06-27,337.5,412.34,100.0,99.42,0.0,75.0,14.0,672.76,False,592.59,"exceeds_preferred_stops, next_day_arrival","Airbus A321neo/Lr/Xlr, Airbus A321, Boeing 737-800","T, T, T",32o6jffBLWSOaBl6ylZgptQChIn,3FbOdqiGF6SlF1txE2vm56EvJ3k,2026-09-04T12:38:00Z,2026-09-05T10:31:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA2860, AA2821, AA895",economy,2,"PHX, CLT",AA,3,True,True,15:46,10:59 +1,1033,22500,80.44,USD,80.44,live:2026-06-27,337.5,417.94,100.0,86.08,0.0,75.0,6.0,673.02,False,592.59,"exceeds_preferred_stops, next_day_arrival","Airbus A321, Airbus A321, Airbus A321","T, T, T",32o6jffBLWSOaBl6ylZgptQChIn,3FbOdq0RqYVGdkP03Y65v85cK7Y,2026-09-04T15:46:00Z,2026-09-05T10:59:00Z,0,
united,United MileagePlus,False,1.2,"UA2837, UA1154",economy,1,IAD,"UA, UA",9,True,True,22:35,11:05 +1,630,33100,62.34,USD,62.34,live:2026-06-27,397.2,459.54,50.0,52.5,75.0,75.0,18.0,694.04,False,592.59,"next_day_arrival, late departure","Boeing 737 MAX 9, Boeing 737-900","YN, YN",33d4wlCl5uQycjhPmigMOGB3Ysr,3FKSc1a7wlWPU77jEdsVR3gBaRE,2026-09-04T22:35:00Z,2026-09-05T11:05:00Z,0,
united,United MileagePlus,False,1.2,"UA505, UA1014",economy,1,IAH,"UA, UA",9,True,True,23:59,12:33 +1,634,33100,62.34,USD,62.34,live:2026-06-27,397.2,459.54,50.0,52.83,75.0,75.0,18.0,694.37,False,592.59,"next_day_arrival, late departure","Boeing 737 MAX 9, Boeing 737-900","YN, YN",33d4wlCl5uQycjhPmigMOGB3Ysr,3FKSc4yb0bnw7gsuECx4tFhWMQF,2026-09-04T23:59:00Z,2026-09-05T12:33:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA2111, AA317, AA886",economy,2,"DFW, CLT",AA,9,True,True,23:30,13:35 +1,725,22500,74.84,USD,74.84,live:2026-06-27,337.5,412.34,100.0,60.42,75.0,75.0,18.0,704.76,False,592.59,"exceeds_preferred_stops, next_day_arrival, late departure","Airbus A321, Airbus A321, Airbus A321","T, T, T",32o6jffBLWSOaBl6ylZgptQChIn,3EvT44NJbldGUyV3CUBECtFceAL,2026-09-04T23:30:00Z,2026-09-05T13:35:00Z,0,
united,United MileagePlus,False,1.2,"UA2111, UA1276",economy,1,IAD,"UA, UA",9,True,True,23:14,15:12 +1,838,33100,62.34,USD,62.34,live:2026-06-27,397.2,459.54,50.0,69.83,75.0,75.0,18.0,711.37,False,592.59,"next_day_arrival, late departure","Boeing 737 MAX 9, Boeing 737 MAX 9","YN, YN",33d4wlCl5uQycjhPmigMOGB3Ysr,3FKSc1RVf2eHgTTSHE9FWysGVvO,2026-09-04T23:14:00Z,2026-09-05T15:12:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA2113, AA1784, AA886",economy,2,"ORD, CLT",AA,6,True,True,22:53,13:35 +1,762,22500,74.84,USD,74.84,live:2026-06-27,337.5,412.34,100.0,63.5,75.0,75.0,12.0,713.84,False,592.59,"exceeds_preferred_stops, next_day_arrival, late departure","Airbus A321, Airbus A321, Airbus A321","T, T, T",32o6jffBLWSOaBl6ylZgptQChIn,3FMuH5kOON4sTYDGSuxJ2yBXXlb,2026-09-04T22:53:00Z,2026-09-05T13:35:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA2113, AA411, AA886",economy,2,"ORD, CLT",AA,6,True,True,22:53,13:35 +1,762,22500,74.84,USD,74.84,live:2026-06-27,337.5,412.34,100.0,63.5,75.0,75.0,12.0,713.84,False,592.59,"exceeds_preferred_stops, next_day_arrival, late departure","Airbus A321, Airbus A321, Airbus A321","T, T, T",32o6jffBLWSOaBl6ylZgptQChIn,3FMuH4xH9djAsSRioll3ej599Xh,2026-09-04T22:53:00Z,2026-09-05T13:35:00Z,0,
united,United MileagePlus,False,1.2,"UA505, UA1167",economy,1,IAH,"UA, UA",9,True,True,23:59,14:37 +1,758,34100,62.34,USD,62.34,live:2026-06-27,409.2,471.54,50.0,63.17,75.0,75.0,18.0,716.71,False,592.59,"next_day_arrival, late departure","Boeing 737 MAX 9, Boeing 737 MAX 9","YN, YN",33d4wlCl5uQycjhPmigMOGB3Ysr,3FKSc69WS1TNb63GMhZli5Cavhy,2026-09-04T23:59:00Z,2026-09-05T14:37:00Z,0,
